Participant_ID,S_Angry,S_Afraid,S_Happy,S_Sad,S_Neutral,Seconds
T003,,,,,,0.0
T003,,,,,,1.0
T003,,,,,,2.0
T003,,,,,,3.0
T003,,,,,,4.0
T003,,,,,,5.0
T003,,,,,,6.0
T003,,,,,,7.0
T003,,,,,,8.0
T003,,,,,,9.0
T003,,,,,,10.0
T003,,,,,,11.0
T003,,,,,,12.0
T003,,,,,,13.0
T003,,,,,,14.0
T003,,,,,,15.0
T003,,,,,,16.0
T003,,,,,,17.0
T003,,,,,,18.0
T003,,,,,,19.0
T003,,,,,,20.0
T003,,,,,,21.0
T003,,,,,,22.0
T003,,,,,,23.0
T003,,,,,,24.0
T003,,,,,,25.0
T003,,,,,,26.0
T003,,,,,,27.0
T003,,,,,,28.0
T003,,,,,,29.0
T003,,,,,,30.0
T003,,,,,,31.0
T003,,,,,,32.0
T003,,,,,,33.0
T003,,,,,,34.0
T003,,,,,,35.0
T003,,,,,,36.0
T003,,,,,,37.0
T003,,,,,,38.0
T003,,,,,,39.0
T003,,,,,,40.0
T003,,,,,,41.0
T003,,,,,,42.0
T003,,,,,,43.0
T003,,,,,,44.0
T003,,,,,,45.0
T003,,,,,,46.0
T003,,,,,,47.0
T003,,,,,,48.0
T003,,,,,,49.0
T003,,,,,,50.0
T003,,,,,,51.0
T003,,,,,,52.0
T003,,,,,,53.0
T003,,,,,,54.0
T003,,,,,,55.0
T003,,,,,,56.0
T003,,,,,,57.0
T003,,,,,,58.0
T003,,,,,,59.0
T003,,,,,,60.0
T003,,,,,,61.0
T003,,,,,,62.0
T003,,,,,,63.0
T003,,,,,,64.0
T003,,,,,,65.0
T003,,,,,,66.0
T003,,,,,,67.0
T003,,,,,,68.0
T003,,,,,,69.0
T003,,,,,,70.0
T003,,,,,,71.0
T003,,,,,,72.0
T003,,,,,,73.0
T003,,,,,,74.0
T003,,,,,,75.0
T003,,,,,,76.0
T003,,,,,,77.0
T003,,,,,,78.0
T003,,,,,,79.0
T003,,,,,,80.0
T003,,,,,,81.0
T003,,,,,,82.0
T003,,,,,,83.0
T003,,,,,,84.0
T003,,,,,,85.0
T003,,,,,,86.0
T003,,,,,,87.0
T003,,,,,,88.0
T003,,,,,,89.0
T003,,,,,,90.0
T003,,,,,,91.0
T003,,,,,,92.0
T003,,,,,,93.0
T003,,,,,,94.0
T003,,,,,,95.0
T003,,,,,,96.0
T003,,,,,,97.0
T003,,,,,,98.0
T003,,,,,,99.0
T003,,,,,,100.0
T003,,,,,,101.0
T003,,,,,,102.0
T003,,,,,,103.0
T003,,,,,,104.0
T003,,,,,,105.0
T003,,,,,,106.0
T003,,,,,,107.0
T003,,,,,,108.0
T003,,,,,,109.0
T003,,,,,,110.0
T003,,,,,,111.0
T003,,,,,,112.0
T003,,,,,,113.0
T003,,,,,,114.0
T003,,,,,,115.0
T003,,,,,,116.0
T003,,,,,,117.0
T003,,,,,,118.0
T003,,,,,,119.0
T003,,,,,,120.0
T003,,,,,,121.0
T003,,,,,,122.0
T003,,,,,,123.0
T003,,,,,,124.0
T003,,,,,,125.0
T003,,,,,,126.0
T003,,,,,,127.0
T003,,,,,,128.0
T003,,,,,,129.0
T003,,,,,,130.0
T003,,,,,,131.0
T003,,,,,,132.0
T003,,,,,,133.0
T003,,,,,,134.0
T003,,,,,,135.0
T003,,,,,,136.0
T003,,,,,,137.0
T003,,,,,,138.0
T003,,,,,,139.0
T003,,,,,,140.0
T003,,,,,,141.0
T003,,,,,,142.0
T003,,,,,,143.0
T003,,,,,,144.0
T003,,,,,,145.0
T003,,,,,,146.0
T003,,,,,,147.0
T003,,,,,,148.0
T003,,,,,,149.0
T003,,,,,,150.0
T003,,,,,,151.0
T003,,,,,,152.0
T003,,,,,,153.0
T003,,,,,,154.0
T003,,,,,,155.0
T003,,,,,,156.0
T003,,,,,,157.0
T003,,,,,,158.0
T003,,,,,,159.0
T003,,,,,,160.0
T003,,,,,,161.0
T003,,,,,,162.0
T003,,,,,,163.0
T003,,,,,,164.0
T003,,,,,,165.0
T003,,,,,,166.0
T003,,,,,,167.0
T003,,,,,,168.0
T003,,,,,,169.0
T003,,,,,,170.0
T003,,,,,,171.0
T003,,,,,,172.0
T003,,,,,,173.0
T003,,,,,,174.0
T003,,,,,,175.0
T003,,,,,,176.0
T003,,,,,,177.0
T003,,,,,,178.0
T003,,,,,,179.0
T003,,,,,,180.0
T003,,,,,,181.0
T003,,,,,,182.0
T003,,,,,,183.0
T003,,,,,,184.0
T003,,,,,,185.0
T003,,,,,,186.0
T003,,,,,,187.0
T003,,,,,,188.0
T003,,,,,,189.0
T003,,,,,,190.0
T003,,,,,,191.0
T003,,,,,,192.0
T003,,,,,,193.0
T003,,,,,,194.0
T003,,,,,,195.0
T003,,,,,,196.0
T003,,,,,,197.0
T003,,,,,,198.0
T003,,,,,,199.0
T003,,,,,,200.0
T003,,,,,,201.0
T003,,,,,,202.0
T003,,,,,,203.0
T003,,,,,,204.0
T003,,,,,,205.0
T003,,,,,,206.0
T003,,,,,,207.0
T003,,,,,,208.0
T003,,,,,,209.0
T003,,,,,,210.0
T003,,,,,,211.0
T003,,,,,,212.0
T003,,,,,,213.0
T003,,,,,,214.0
T003,,,,,,215.0
T003,,,,,,216.0
T003,,,,,,217.0
T003,,,,,,218.0
T003,,,,,,219.0
T003,,,,,,220.0
T003,,,,,,221.0
T003,,,,,,222.0
T003,,,,,,223.0
T003,,,,,,224.0
T003,,,,,,225.0
T003,,,,,,226.0
T003,,,,,,227.0
T003,,,,,,228.0
T003,,,,,,229.0
T003,,,,,,230.0
T003,,,,,,231.0
T003,,,,,,232.0
T003,,,,,,233.0
T003,,,,,,234.0
T003,,,,,,235.0
T003,,,,,,236.0
T003,,,,,,237.0
T003,,,,,,238.0
T003,,,,,,239.0
T003,,,,,,240.0
T003,,,,,,241.0
T003,,,,,,242.0
T003,,,,,,243.0
T003,,,,,,244.0
T003,,,,,,245.0
T003,,,,,,246.0
T003,,,,,,247.0
T003,,,,,,248.0
T003,,,,,,249.0
T003,,,,,,250.0
T003,,,,,,251.0
T003,,,,,,252.0
T003,,,,,,253.0
T003,,,,,,254.0
T003,,,,,,255.0
T003,,,,,,256.0
T003,,,,,,257.0
T003,,,,,,258.0
T003,,,,,,259.0
T003,,,,,,260.0
T003,,,,,,261.0
T003,,,,,,262.0
T003,,,,,,263.0
T003,,,,,,264.0
T003,,,,,,265.0
T003,,,,,,266.0
T003,,,,,,267.0
T003,,,,,,268.0
T003,,,,,,269.0
T003,,,,,,270.0
