Participant,Seconds,angry,afraid,happy,sad,neutral
T051,0.0,,,,,
T051,1.0,,,,,
T051,2.0,,,,,
T051,3.0,,,,,
T051,4.0,,,,,
T051,5.0,,,,,
T051,6.0,,,,,
T051,7.0,,,,,
T051,8.0,,,,,
T051,9.0,,,,,
T051,10.0,,,,,
T051,11.0,,,,,
T051,12.0,,,,,
T051,13.0,,,,,
T051,14.0,,,,,
T051,15.0,,,,,
T051,16.0,,,,,
T051,17.0,,,,,
T051,18.0,,,,,
T051,19.0,,,,,
T051,20.0,,,,,
T051,21.0,,,,,
T051,22.0,,,,,
T051,23.0,,,,,
T051,24.0,,,,,
T051,25.0,,,,,
T051,26.0,,,,,
T051,27.0,,,,,
T051,28.0,,,,,
T051,29.0,,,,,
T051,30.0,,,,,
T051,31.0,,,,,
T051,32.0,,,,,
T051,33.0,,,,,
T051,34.0,,,,,
T051,35.0,,,,,
T051,36.0,,,,,
T051,37.0,,,,,
T051,38.0,,,,,
T051,39.0,,,,,
T051,40.0,,,,,
T051,41.0,,,,,
T051,42.0,,,,,
T051,43.0,,,,,
T051,44.0,,,,,
T051,45.0,,,,,
T051,46.0,,,,,
T051,47.0,,,,,
T051,48.0,,,,,
T051,49.0,,,,,
T051,50.0,,,,,
T051,51.0,,,,,
T051,52.0,,,,,
T051,53.0,,,,,
T051,54.0,,,,,
T051,55.0,,,,,
T051,56.0,,,,,
T051,57.0,,,,,
T051,58.0,,,,,
T051,59.0,,,,,
T051,60.0,,,,,
T051,61.0,,,,,
T051,62.0,,,,,
T051,63.0,,,,,
T051,64.0,,,,,
T051,65.0,,,,,
T051,66.0,,,,,
T051,67.0,,,,,
T051,68.0,,,,,
T051,69.0,,,,,
T051,70.0,,,,,
T051,71.0,,,,,
T051,72.0,,,,,
T051,73.0,,,,,
T051,74.0,,,,,
T051,75.0,,,,,
T051,76.0,,,,,
T051,77.0,,,,,
T051,78.0,,,,,
T051,79.0,,,,,
T051,80.0,,,,,
T051,81.0,,,,,
T051,82.0,,,,,
T051,83.0,,,,,
T051,84.0,,,,,
T051,85.0,,,,,
T051,86.0,,,,,
T051,87.0,,,,,
T051,88.0,,,,,
T051,89.0,,,,,
T051,90.0,,,,,
T051,91.0,,,,,
T051,92.0,,,,,
T051,93.0,,,,,
T051,94.0,,,,,
T051,95.0,,,,,
T051,96.0,,,,,
T051,97.0,,,,,
T051,98.0,,,,,
T051,99.0,,,,,
T051,100.0,,,,,
T051,101.0,,,,,
T051,102.0,,,,,
T051,103.0,,,,,
T051,104.0,,,,,
T051,105.0,,,,,
T051,106.0,,,,,
T051,107.0,,,,,
T051,108.0,,,,,
T051,109.0,,,,,
T051,110.0,,,,,
